# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	1407
#@/user_id	c35ff326-3a48-4b0a-bf55-c5625a9363c2
ai 	唉	c=1 d=1 t=55
ruan jian 	軟件	c=4 d=2.21429 t=1375
ruan jian yuan 	軟件源	c=3 d=1.87148 t=1210
sai den 	賽㩐	c=1 d=1 t=889
san guo zhi 	三國志	c=1 d=1 t=972
se ti 	色提	c=1 d=1 t=501
shan 	山	c=1 d=1 t=282
shan chu 	刪除	c=3 d=1.7809 t=1068
shan jia 	善加	c=1 d=1 t=172
shan shuo 	閃爍	c=1 d=1 t=1400
shang 	上	c=3 d=1.98717 t=1255
shang hen 	傷痕	c=1 d=1 t=429
shang hua 	上滑	c=1 d=1 t=607
shang xin 	傷心	c=1 d=1 t=387
she 	舍	c=1 d=1 t=192
she qu 	社區	c=2 d=1.05156 t=1366
she zhi 	設置	c=9 d=1.37017 t=1380
shen 	深	c=1 d=1 t=1356
shen du 	深度	c=0 d=0.1 t=951
shen du ding zhi 	深度定製	c=1 d=1 t=952
shen fen zheng 	身份證	c=3 d=2.8606 t=1358
shen ji 	神級	c=1 d=1 t=472
shen jiu 	深究	c=0 d=0.1 t=67
shen me 	什麼	c=3 d=1.17781 t=931
shen me gui 	什麼鬼	c=1 d=1 t=932
shen me shi 	什麼是	c=1 d=1 t=729
shen mi 	神祕	c=1 d=1 t=125
shen qing 	申請	c=1 d=1 t=776
shen ru 	深入	c=0 d=0.1 t=65
shen zhen 	深圳	c=4 d=2.96546 t=1354
sheng 	昇	c=1 d=1 t=1337
sheng cheng 	生成	c=2 d=1.73345 t=1082
sheng huo 	生活	c=0 d=0.1 t=392
sheng ji 	升級	c=1 d=1.06079 t=493
sheng ji shi bai 	升級失敗	c=1 d=1 t=494
